# E (eV)  dos(E)    pdos(E)
   3.100  0.536E-01  0.534E-01
   3.150  0.441E-01  0.440E-01
   3.200  0.201E-01  0.200E-01
   3.250  0.125E-02  0.125E-02
   3.300  0.106E-04  0.106E-04
   3.350  0.121E-07  0.121E-07
   3.400  0.188E-11  0.187E-11
   3.450  0.393E-16  0.391E-16
   3.500  0.000E+00  0.000E+00
   3.550  0.000E+00  0.000E+00
   3.600  0.000E+00  0.000E+00
   3.650  0.000E+00  0.000E+00
   3.700  0.000E+00  0.000E+00
   3.750  0.000E+00  0.000E+00
   3.800  0.000E+00  0.000E+00
   3.850  0.000E+00  0.000E+00
   3.900  0.000E+00  0.000E+00
   3.950  0.000E+00  0.000E+00
   4.000  0.000E+00  0.000E+00
   4.050  0.000E+00  0.000E+00
   4.100  0.287E-18  0.278E-18
   4.150  0.307E-13  0.298E-13
   4.200  0.445E-09  0.432E-09
   4.250  0.873E-06  0.848E-06
   4.300  0.232E-03  0.225E-03
   4.350  0.833E-02  0.809E-02
   4.400  0.406E-01  0.394E-01
   4.450  0.400E-01  0.389E-01
   4.500  0.230E+00  0.224E+00
   4.550  0.552E+00  0.536E+00
   4.600  0.367E+00  0.356E+00
   4.650  0.230E+00  0.223E+00
   4.700  0.359E+00  0.348E+00
   4.750  0.111E+01  0.108E+01
   4.800  0.129E+01  0.125E+01
   4.850  0.158E+01  0.153E+01
   4.900  0.631E+00  0.609E+00
   4.950  0.232E+00  0.223E+00
   5.000  0.115E+01  0.111E+01
   5.050  0.413E+01  0.398E+01
